Year,Area,PropertyClass,RTC_RTQ,TaxRate_Municipal,TaxRate_Education,TaxRate_Total
2017,Urban,Residential,RT/RH,0.01390641,0.00179,0.01569641
2017,Urban,New Multi-Residential,NT,0.01529705,0.00179,0.01708705
2017,Urban,Multi-Residential,MT,0.01660962,0.00179,0.01839962
2017,Urban,Commercial Occupied/Full Share/New Construction,CT/CH/XT/XH,0.03054243,0.0114,0.04194243
2017,Urban,Commercial-New Construction/Excess Land,CU/XU,0.02137969,0.00798,0.02935969
2017,Urban,Commercial - Vacant Land / Parking Lots,CX/GT,0.02258093,0.0114,0.03398093
2017,Urban,General Rate Only (International Bridge Plaza),CM,0.03054243,0,0.03054243
2017,Urban,Shopping Centres Occupied- New Construction,ST/ZT,0.03242277,0.0114,0.04382277
2017,Urban,Shopping Centre - Excess Land,SU,0.02269593,0.00798,0.03067593
2017,Urban,Office Buildings Occupied-New Construction,DT/YH,0.04460868,0.0114,0.05600868
2017,Urban,Office Building - Excess Land,DU,0.03122607,0.00798,0.03920607
2017,Urban,Industrial Occupied/Full Share/New Construction,IT/IH/JT,0.06568882,0.0114,0.07708882
2017,Urban,Industrial - New Construction - Excess Land-Vacant Lan,JU/IU/IX/IJ,0.04269774,0.00741,0.05010774
2017,Urban,Large Industrial - Occupied,LT,0.11666505,0.0114,0.12806505
2017,Urban,Large Industrial - Excess Land,LU,0.0758323,0.00741,0.0832423
2017,Urban,Pipeline,PT,0.02911877,0.0114,0.04051877
2017,Urban,Farm / Managed Forests,FT/TT,0.00347661,0.0004475,0.00392411
2017,Rural,Residential,RT/RH,0.01331967,0.00179,0.01510967
2017,Rural,New Multi-Residential,NT,0.01465164,0.00179,0.01644164
2017,Rural,Multi-Residential,MT,0.01590883,0.00179,0.01769883
2017,Rural,Commercial Occupied/Full Share/New Construction,CT/CH/XT/XH,0.02922304,0.0114,0.04062304
2017,Rural,Commercial-New Construction-Excess Land,CU/XU,0.02045612,0.00798,0.02843612
2017,Rural,Commercial - Vacant Land / Parking Lots,CX/GT,0.02160547,0.0114,0.03300547
2017,Rural,Shopping Centres Occupied- New Construction,ST/ZT,0.03102215,0.0114,0.04242215
2017,Rural,Shopping Centre - Excess Land,SU,0.0217155,0.00798,0.0296955
2017,Rural,Office Buildings Occupied-New Construction,DT/YH,0.04268165,0.0114,0.05408165
2017,Rural,Office Building - Excess Land,DU,0.02987715,0.00798,0.03785715
2017,Rural,Industrial Occupied/Full Share/New Construction,IT/IH/JT,0.06285116,0.0114,0.07425116
2017,Rural,Industrial - New Construction - Excess Land-Vacant Lan,JU/IU/IX/IJ,0.04085326,0.00741,0.04826326
2017,Rural,Large Industrial - Occupied,LT,0.11162529,0.0114,0.12302529
2017,Rural,Large Industrial - Excess Land,LU,0.07255645,0.00741,0.07996645
2017,Rural,Pipeline,PT,0.02789019,0.0114,0.03929019
2017,Rural,Farm / Managed Forests,FT/TT,0.00332992,0.0004475,0.00377742
